L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,first_natural_frequency,modal_stiffness,modal_mass,frequency_ratio,resonance_proximity
2.949558856115305,0.0635682429845845,0.0090036246444645,194858867606.7213,7768.993170731514,0.0386390175864728,9.264402941018886,1.8298702227135024,0.65,2.0,0.002,4,2.35022920879472,9.40091683517888,21.15206287915248,37.60366734071552,0.0393891706975669,0.0208291045188379,2.350229208794714,1429.9787217107291,6.55766760875273,0.7785922393722307,0.22140776062776935
1.420986179543411,0.0569158452706312,0.0061536249575812,203097665697.7852,7650.368280594575,0.0418397685639196,9.40179237726222,3.641098457676705,0.65,2.0,0.002,4,7.120194623261565,28.48077849304626,64.08175160935409,113.92311397218504,0.0032839880065532,0.0019330078638633,7.120194623261548,3810.218495070434,1.903734649482036,0.51137625448907,0.48862374551093
2.1538416361993056,0.0227952565440999,0.0155638257249467,200267294710.12463,7941.808690999206,0.0357095242643568,0.1440212209801074,4.357023178690596,0.65,2.0,0.002,4,7.639472677308394,30.557890709233572,68.75525409577554,122.2315628369343,5.252971342271915e-05,2.682300564216134e-05,7.639472677308353,6991.18086580567,3.034338566760537,0.5703303569148603,0.42966964308513966
1.3786190393593596,0.0344684381759556,0.01539061826574,214076123300.054,7670.884858725725,0.0415555574537381,7.902142152238221,32.33347675508034,0.65,2.0,0.002,4,19.39805383414617,77.5922153365847,174.5824845073156,310.3688613463388,0.0001974511713625,6.271605993592035e-05,19.398053834146175,41669.03753076563,2.805029364361769,1.66684127343559,0.66684127343559
1.965171704731698,0.0557576076357213,0.0165236042607531,205366295611.2769,7956.821742663477,0.0381069612773835,5.234609595366929,4.08791915490207,0.65,2.0,0.002,4,9.856615259245531,39.426461036982126,88.7095373332098,157.7058441479285,0.0003313158028004,0.0001808757404339,9.856615259245531,27627.042645560512,7.203093494906555,0.41473863465124006,0.5852613653487599
2.939894179007595,0.0504682484840052,0.0058100105707387,182722934228.49905,7786.945879346676,0.0345949041200594,1.633278898740471,0.3831164910884151,0.65,2.0,0.002,4,1.4765757513771196,5.906303005508478,13.289181762394076,23.625212022033917,0.0118373819178143,0.0072176494068944,1.4765757513771134,288.89180011861083,3.356325048964453,0.25946280827861723,0.7405371917213828
2.4532702572077936,0.0338667766536112,0.0142408091431781,206370572280.90625,7731.371241381901,0.0418475239441723,8.86517189264976,9.640504680597834,0.65,2.0,0.002,4,5.543304726925984,22.173218907703937,49.88974254233386,88.69287563081575,0.0026528611395471,0.000954217554084,5.543304726925975,5548.526933033848,4.573834596111028,1.739125874457194,0.739125874457194
2.614732463238544,0.0718561258829752,0.0121749825105334,200938815307.30444,7796.629311851676,0.0288385788256302,1.11596115115603,4.0196340559911485,0.65,2.0,0.002,4,4.099411902687607,16.39764761075043,36.89470712418847,65.59059044300172,0.0036188829147834,0.0017976450892959,4.099411902687594,5916.149586742657,8.917359884441396,0.9805391971848102,0.019460802815189804
2.8368061349635707,0.0618129502529979,0.0196767445934338,193154812383.49664,7692.934633760773,0.0063165524651242,3.528814890930096,7.137484610671412,0.65,2.0,0.002,4,5.555586741973735,22.22234696789494,50.00028067776362,88.88938787157976,0.0011863865814848,0.0005431745646255,5.555586741973735,16171.266241498806,13.271634873800656,1.2847400179617527,0.28474001796175274
2.909135693745629,0.0686336366070907,0.0101470643726519,213657274045.75504,7807.52569966152,0.0206038624217478,8.412154736438222,4.4194284166,0.65,2.0,0.002,4,2.844093317830155,11.37637327132062,25.5968398604714,45.50549308528248,0.009139179480706,0.0040703956282777,2.844093317830132,2525.6446859026846,7.9090593078810345,1.5538971203560055,0.5538971203560055
2.18080672746792,0.0449711991330993,0.0065847761761599,212457491753.85944,7696.698144456142,0.046093588591076,7.780796058113796,1.1402488155023371,0.65,2.0,0.002,4,3.2985244890639427,13.19409795625577,29.686720401575485,52.77639182502308,0.0130581576667626,0.0073458263877384,3.2985244890639307,1067.4960691093918,2.485233060398186,0.34568450811348134,0.6543154918865186
1.320789551504354,0.0212007955075832,0.0164470617673119,204022688121.426,7644.368656487523,0.0121777990268157,1.395700347991966,11.050456530244988,0.65,2.0,0.002,4,22.08608550820254,88.34434203281016,198.77476957382288,353.37736813124064,5.251179160510357e-05,2.954605072393698e-05,22.086085508202412,33898.69409016151,1.76029612362122,0.500335676330739,0.49966432366926095
2.427415911059593,0.0319922977057829,0.0199403268608159,180367297809.7065,7691.916792499596,0.0068928078772623,7.848291780957173,9.226449341022713,0.65,2.0,0.002,4,7.430785911655379,29.72314364662152,66.87707320489841,118.89257458648606,0.0032424479296002,0.0014987326923036,7.430785911655347,12982.421835199275,5.955613170896608,1.2416518859130135,0.24165188591301345
2.492566871031431,0.0502995356611101,0.010228958849711,211475672699.1864,7846.7130990168835,0.0278270764687398,7.753760257834535,4.576038182482522,0.65,2.0,0.002,4,3.8757287027688734,15.502914811075494,34.88155832491986,62.01165924430197,0.0159411755534435,0.007676955899702,3.8757287027688374,2983.777805001741,5.031529274882868,1.1806910476508277,0.18069104765082766
2.96921475320186,0.0348741013898709,0.0061392254885781,202477636944.04712,7731.5142391240415,0.0195052447763619,0.1701450062824856,2.057420457542828,0.65,2.0,0.002,4,1.6159051727799931,6.463620691119973,14.543146555019945,25.854482764479894,0.0036754142327985,0.0019542236251138,1.6159051727799896,253.32862393968804,2.457495803911644,1.2732309371862827,0.27323093718628266
2.479179851592332,0.0634626499020541,0.016070127165325,182960788296.60724,7625.30862059785,0.0212503974453247,5.323207474033077,9.133403265478409,0.65,2.0,0.002,4,5.807414151799455,23.22965660719782,52.26672736619511,92.91862642879128,0.0009419962253841,0.0003723592852782,5.807414151799421,12835.072116528543,9.639910002148682,1.5727142970591195,0.5727142970591195
2.452133408451929,0.0231338425165589,0.0199209226380936,213722354101.4912,7733.986666895393,0.0228560948722363,9.640696422600197,14.881882613891774,0.65,2.0,0.002,4,7.897211684020837,31.588846736083347,71.07490515618753,126.3553869443334,0.0012371488190017,0.0004603571418843,7.897211684020817,10759.250943039051,4.369932627550896,1.8844477277978642,0.8844477277978642
2.605291675990795,0.0495777241367486,0.0159193155000871,210028102037.43365,7802.705575868093,0.0466413294314059,9.903383661167547,4.671198680494942,0.65,2.0,0.002,4,5.51768666297377,22.07074665189508,49.65917996676394,88.28298660758033,0.0068910664544248,0.0037712322178318,5.517686662973749,9641.760905766429,8.021998058840685,0.846586434826186,0.153413565173814
1.218712155950003,0.0317732179090919,0.0061786305087407,219206021634.46976,7649.142650364512,0.0140382925517612,8.115888898036253,6.504761808123185,0.65,2.0,0.002,4,10.098085708935928,40.39234283574371,90.88277138042336,161.56937134297485,0.0040111731413361,0.001934892374019,10.098085708935928,3683.6229926981923,0.9150342146818878,0.644157912263216,0.35584208773678405
