L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,first_natural_frequency,modal_stiffness,modal_mass,frequency_ratio,resonance_proximity
2.380141398547724,0.0652699477879939,0.0081752427793646,213300797166.99377,7845.596846446526,0.00811859528123,8.640822553955733,1.0248231263435847,0.65,2.0,0.002,4,3.411989151764589,13.647956607058358,30.707902365881303,54.59182642823343,0.0071619740916727,0.0040551952695299,3.411989151764548,2289.748031776335,4.982102683401321,0.30035943279995075,0.6996405672000492
1.5953113748947565,0.0634169884439243,0.0152232874403826,198467417603.2215,7873.042161937613,0.0440210947844688,9.607768860628042,27.15293161995993,0.65,2.0,0.002,4,13.6182122542863,54.4728490171452,122.56391028857672,217.8913960685808,0.0001603724500607,5.234092063080306e-05,13.61821225428627,44388.660502709245,6.062784132691768,1.993869027222253,0.993869027222253
2.733489246088181,0.0556775903483646,0.0120701101074406,199210009104.96848,7666.406598208593,0.0254102908002052,8.235146295500131,7.392491621979259,0.65,2.0,0.002,4,3.7339233609544302,14.93569344381772,33.60531024858987,59.74277377527088,0.0027894328381251,0.0012568114537862,3.7339233609544147,3875.8005713511097,7.0415924591356385,1.979818787734757,0.9798187877347571
1.1429916979689363,0.079376809092718,0.0137125374217754,195799738356.68625,7607.804106134162,0.0314070385172623,4.999415593674303,14.18722252761146,0.65,2.0,0.002,4,24.14556213872975,96.582248554919,217.31005924856777,386.328994219676,6.572949818036138e-05,3.237958705715416e-05,24.14556213872968,108922.66088171458,4.732426351404465,0.5875706039104817,0.41242939608951834
2.815171727736937,0.069968989632188,0.008787785713415,212060010117.2292,7676.539006251007,0.0061187455758134,9.615093995009676,4.150156746456615,0.65,2.0,0.002,4,2.6426861344040837,10.570744537616331,23.78417520963675,42.28297815046533,0.0142111101722817,0.007016772407894,2.6426861344040695,1831.7927146809711,6.643935667694947,1.5704311959060862,0.5704311959060862
1.678744052284513,0.0423414705675627,0.0182513808881096,196622483017.7754,7839.387947450319,0.0443650544556792,4.315018443680733,26.33578010191287,0.65,2.0,0.002,4,14.707251468673602,58.82900587469441,132.36526321806244,235.31602349877764,0.0001034459297743,3.309197812590478e-05,14.70725146867355,43423.12624576573,5.0850861404737895,1.790666336127324,0.7906663361273241
2.1316509265349675,0.0447192759336483,0.011238384942041,192317867577.706,7748.499013568795,0.013283356837249,2.778779973128529,6.571174934389217,0.65,2.0,0.002,4,5.587300242827898,22.349200971311596,50.28570218545109,89.39680388524637,0.0033029805329413,0.0015430825151597,5.587300242827864,5115.240956349606,4.150518370911907,1.1760912513739177,0.17609125137391768
2.5346925417017587,0.0700972624495925,0.0109650480570558,182672150543.8776,7793.589999386221,0.0245201664662773,2.05009158770509,6.793115306226371,0.65,2.0,0.002,4,3.746766365239871,14.987065460959483,33.720897287158834,59.94826184383793,0.0007802968325457,0.0003257699300882,3.74676636523985,4207.434906519104,7.591794489102053,1.8130608220594262,0.8130608220594262
2.3641865103565345,0.0722177805241799,0.0121317590789635,197298418319.5764,7694.857027403656,0.0295178162543356,5.972319375847275,4.763721000999674,0.65,2.0,0.002,4,4.98369075128656,19.93476300514624,44.85321676157905,79.73905202058496,0.0113567837950666,0.0064119415302815,4.983690751286554,7814.156706949227,7.969300598683896,0.9558620786753083,0.04413792132469174
1.6603753206857514,0.0787594287987274,0.0153876945024605,189523448009.1613,7601.244779967931,0.0357727321559151,2.3015588375472844,7.79111198699587,0.65,2.0,0.002,4,12.638030112791624,50.552120451166495,113.74227101512464,202.208481804666,0.0001054346849009,5.177658460741683e-05,12.638030112791546,48223.15422354701,7.647810271343723,0.6164815178838764,0.3835184821161236
2.96921475320186,0.0348741013898709,0.0061392254885781,202477636944.04712,7731.5142391240415,0.0195052447763619,0.1701450062824856,2.057420457542828,0.65,2.0,0.002,4,1.6159051727799931,6.463620691119973,14.543146555019945,25.854482764479894,0.0036754142327985,0.0019542236251138,1.6159051727799896,253.32862393968804,2.457495803911644,1.2732309371862827,0.27323093718628266
2.2499547182664186,0.0281851310125392,0.0079014360387708,211217473495.67944,7816.821466342428,0.0122173804187806,3.945484205281432,1.6264765400969976,0.65,2.0,0.002,4,3.679065778010567,14.716263112042268,33.1115920020951,58.865052448169074,0.0080232632622015,0.0044331969628498,3.6790657780105245,1046.4895689779246,1.9583939634147798,0.4420895515971242,0.5579104484028758
