experiment,case,model_standard,output,rmse_standard,mae_standard,maximum_absolute_error_standard,monotonicity_violation_rate_standard,force_proportionality_error_standard,near_resonance_rmse_standard,resonance_location_error_standard,resonance_amplitude_relative_error_standard,model_physics,rmse_physics,mae_physics,maximum_absolute_error_physics,monotonicity_violation_rate_physics,force_proportionality_error_physics,near_resonance_rmse_physics,resonance_location_error_physics,resonance_amplitude_relative_error_physics,rmse_reduction_percent,better_rmse_model
force_sweep,frequency_ratio_1.00,standard_NN,rms_displacement,0.003016799403580467,0.0023470351191544115,0.0060441266218595555,0.20689655172413793,0.5292323262348454,,,,physics_guided_NN,0.0011234313532292276,0.0007976265086566167,0.002159999990519563,0.0,0.34867431047003805,,,,62.760820229018506,physics_guided_NN
frequency_sweep,first_mode_resonance,standard_NN,f1,0.1256326206744216,0.11843006249739702,0.1671468597650927,,,0.13909441328621894,0.25,0.02346228970797808,physics_guided_NN,0.08330317197586078,0.07617579489364587,0.1385514122248095,,,0.11347362655173307,0.52,0.019448366410452098,33.69303965110947,physics_guided_NN
frequency_sweep,first_mode_resonance,standard_NN,f2,0.6070848376220278,0.5749446619727291,0.759934179783027,,,0.6997226628540943,0.30000000000000004,0.02666785949512001,physics_guided_NN,0.3021339959572362,0.27598625926422654,0.4504973816873239,,,0.36618066452775355,0.56,0.0158090018811723,50.23199769892039,physics_guided_NN
frequency_sweep,first_mode_resonance,standard_NN,f3,1.248965315725754,1.207311970615276,1.493925734162687,,,1.3923441721547376,0.30000000000000004,0.0233001474979609,physics_guided_NN,0.7143937830712661,0.6416453723700106,1.219572706818937,,,0.6510136990647002,0.30000000000000004,0.019021175754292317,42.80115115477461,physics_guided_NN
frequency_sweep,first_mode_resonance,standard_NN,f4,1.4132868816749122,1.3138769914594308,1.9346723270422643,,,1.586620262800758,0.30000000000000004,0.016973038968121797,physics_guided_NN,1.460941765001497,1.3752330651008153,1.9867810916907018,,,1.7211154390624075,0.56,0.01743019343329718,-3.371918606511664,standard_NN
frequency_sweep,first_mode_resonance,standard_NN,peak_displacement,0.0024016870743527063,0.0018965225825050187,0.005503317091415463,,,0.001948900261783977,0.17000000000000004,0.15244134245875696,physics_guided_NN,0.00040029081822418885,0.00031753459451263667,0.0011768167000374176,,,0.0005484453392968589,0.0,0.04040855320888791,83.33293198356935,physics_guided_NN
frequency_sweep,first_mode_resonance,standard_NN,rms_displacement,0.001318796759612928,0.0010669001770059615,0.002968746344114646,,,0.0011247993359682776,0.17000000000000004,0.15363687509208296,physics_guided_NN,0.00035739630208657256,0.00027777523541235244,0.0008316907303720514,,,0.0005217697524298486,0.0,0.020141316620731525,72.89981951491374,physics_guided_NN
thickness_sweep,constant_frequency_ratio_0.80,standard_NN,f1,0.1185774133535102,0.10339635639342155,0.200659763927173,0.0,,,,,physics_guided_NN,0.09183051288304243,0.0748295517064995,0.20248684876680478,0.0,,,,,22.556488385126332,physics_guided_NN
thickness_sweep,constant_frequency_ratio_0.80,standard_NN,f2,0.4546697944067619,0.38841798048616744,0.7658388806536109,0.0,,,,,physics_guided_NN,0.4059111865685459,0.34166537610627645,0.758902930955891,0.0,,,,,10.723960209812184,physics_guided_NN
thickness_sweep,constant_frequency_ratio_0.80,standard_NN,f3,1.0593995635254905,0.9079819394783911,1.9099174606224167,0.0,,,,,physics_guided_NN,0.9221240353570107,0.7901390351087794,1.6795767449699,0.0,,,,,12.957861499550896,physics_guided_NN
thickness_sweep,constant_frequency_ratio_0.80,standard_NN,f4,2.1085570111412055,1.8947726613605,3.623960471580695,0.0,,,,,physics_guided_NN,1.4986553285281832,1.2267598275774216,2.8509040822220015,0.0,,,,,28.92507432288624,physics_guided_NN
thickness_sweep,constant_frequency_ratio_0.80,standard_NN,peak_displacement,0.003848351644590227,0.002901871189082925,0.00881752979101115,0.0,,,,,physics_guided_NN,0.0006147645354027146,0.00033341936739248005,0.0028439698456893675,0.0,,,,,84.02525049219678,physics_guided_NN
thickness_sweep,constant_frequency_ratio_0.80,standard_NN,rms_displacement,0.001994451291767849,0.0015906771186716415,0.004326004782550349,0.0,,,,,physics_guided_NN,0.00039801320493738343,0.00026400867485791964,0.0012145978374597122,0.0,,,,,80.04397467212192,physics_guided_NN
